DST,MOPH
filgrastim 30mu 0.6 mg /mL IV/SC preservative free prefilled syringe 0.5 mL,Desogestrel 75mcg
fingolimod 0.5 mg Oral Hard cap,Desvenlafaxine 50mg
flecainide 100 mg Oral Scored Tab,Dexamethasone 0.103/ml
flecainide 50 mg Oral Tab,"Dexamethasone 0.12%, Salicylic
 acid 3%  "
Flucloxacillin 125 mg /5 ml oral powder for suspension 100 ml,Dexamethasone 0.5mg
fluconazole 0.2% w/v in 0.9% w/v sodium chloride 2 mg /mL intravenous solution for injection 100 mL,"Dexamethasone 1 mg/g — neomycin
 sulphate 3,500 I.U./g — polymyxin
 B sulphate 6,000 I.U./g.
  "
fluconazole 150 mg Oral Cap,"Dexamethasone 1 mg/m1— neomycin
 sulphate 3,500 I.U./m1— polymyxin
 B sulphate 6,000 I.U./ml
  "
fluconazole 50 mg Oral Cap,Dexamethasone 1.0 mg/mL
fludarabine 25 mg /mL Intravenous injection 2 mL,"Dexamethasone sodium phosphate
 1mg  Tetryzoline Hydrochloride
 0.5 mg  gentamycin sulfate
 5 mg  "
fludrocortisone 0.1 mg Oral Tab,Dexpanthenol 2.5%
flumazenil 0.1 mg /mL intravenous solution for injection 5 mL,Dexpanthenol 5%
Flunarizine 5 mg Oral Tab,Dexpanthenol 5%
fluorescein 100 mg /ml intravenous solution for injection 5 mL,Dexpanthenol 5%
fluorescein sodium 1 % ophthalmic minims 0.5 ml,"Dexpanthenol 5%
Chlorhexidine
 0.5%  "
Fluorescein sodium 2 % ophthalmic minims 0.5 ml,"Dextran (70) 1.0 mg/ml
Hypromellose
 3.0 mg/ml  "
fluorescein sodium-lidocaine HCl 0.25-4 % ophthalmic minims 0.5 ml,"Dextromethorphan HBr 7.5mg/5ml

Guaiphenesin 50mg/5ml
Ephedrine
 HCl 7.5mg/5ml
Chlorpheniramine
 Maleate 1.25mg/5ml
 "
fluorometholone 0.1 % ophthalmic solution 5 ml,"Dextromethorphan HBr 15mg/5ml

Guaiphenesin 50mg/5ml
Ephedrine
 HCl 7.5mg/5ml
Chlorpheniramine
 Maleate 1.25mg/5ml  "
FLUoxetine 10 mg Oral Hard cap,"Dextromethorphan HBr 15mg/5ml
   "
FLUoxetine 20 mg Oral Cap,"dextromethorphan hydrobromide
 1 MG / Phenylephrine hydrochloride
  1.075/sodium citrate 65
 mg/carbinoxamine  maleate
 0.4 mg     per 1 ml
        "
fluticasone 1 mg ml Nasal Drop solution 28 nasule,"Dextrose – 10%
Sodium Chloride
 - 0.18%  "
fluticasone 125 mcg puff inhalation MDI aerosol 120 dose,"Dextrose – 10%
Sodium Chloride
 - 0.18%  "
fluticasone 250 mcg puff inhalation MDI aerosol 120 dose,"Dextrose – 10%
Sodium Chloride
 - 0.18%  "
fluticasone 27.5 mcg spray nasal spray solution 10 dose,"Dextrose – 10%
Sodium Chloride
 - 0.18%  "
fluticasone 50 mcg puff inhalation MDI aerosol 120 dose,"Dextrose – 10%
Sodium Chloride
 - 0.18%  "
fluticasone propionate 0.005 % topical ointment 30 g,"Dextrose – 10%
Sodium Chloride
 - 0.18%  "
fluticasone propionate 0.05 % topical cream 30 g,"Dextrose – 10%
Sodium Chloride
 - 0.18%  "
fluticasone propionate 50 mcg puff Nasal Spray solution - -,"Dextrose – 10%
Sodium Chloride
 - 0.225%  "
fluticasone-albuterol (salmeterol) 100-50 mcg-mcg puff inhalation powder 60 dose,"Dextrose – 10%
Sodium Chloride
 - 0.225%  "
fluticasone-albuterol (salmeterol) 125-25 mcg-mcg puff inhalation aerosol 120 dose,"Dextrose – 10%
Sodium Chloride
 - 0.225%  "
fluticasone-albuterol (salmeterol) 250-50 mcg-mcg puff inhalation powder 60 dose,"Dextrose – 10%
Sodium Chloride
 - 0.225%  "
fluticasone-albuterol (salmeterol) 500-50 mcg-mcg puff inhalation powder 60 dose,"Dextrose – 10%
Sodium Chloride
 - 0.225%  "
fluticasone-albuterol (salmeterol) 50-25 mcg-mcg puff inhalation MDI aerosol 120 dose,"Dextrose – 10%
Sodium Chloride
 - 0.225%  "
fluvoxamine 100 mg Oral Tab,"Dextrose – 10%
Sodium Chloride
 - 0.225%  "
fluvoxamine 50 mg Oral Scored Tab,"Dextrose – 10%
Sodium Chloride
 - 0.45%  "
folic acid (vitamin B9) (Compounding) 10 g Oral Powder,"Dextrose – 10%
Sodium Chloride
 - 0.45%  "
folic acid 1 mg / ml oral unflavored syrup 150 ml,"Dextrose – 10%
Sodium Chloride
 - 0.45%  "
Folic acid 1 mg Oral Scored Tab,"Dextrose – 10%
Sodium Chloride
 - 0.45%  "
"folic acid 5 mg /mL sc,im,iv solution for injection 10 mL","Dextrose – 10%
Sodium Chloride
 - 0.45%  "
Folic acid 5 mg Oral Scored Tab,"Dextrose – 10%
Sodium Chloride
 - 0.45%  "
folic acid Oral Soln 2.5 mg /5mL Oral SF-mannitol suspension 150 mL,"Dextrose – 10%
Sodium Chloride
 - 0.45%  "
follitro-lutropin alfa 150-75 unit intravenous powder for injection,"Dextrose – 10%
Sodium Chloride
 - 0.9%  "
follitropin alfa 22 mcg /0.5mL subcutaneous pre-filled PEN 0.5 mL,"Dextrose – 10%
Sodium Chloride
 - 0.9%  "
follitropin alfa 33 mcg /0.75 mL subcutaneous pre-filled PEN 0.75 mL,"Dextrose – 10%
Sodium Chloride
 - 0.9%  "
follitropin alfa 66 mcg /1.5 mL subcutaneous pre-filled PEN 1.5 mL,"Dextrose – 10%
Sodium Chloride
 - 0.9%  "
follitropin alfa 75 units 5.5 mcg subcutanious powder for injection,"Dextrose – 10%
Sodium Chloride
 - 0.9%  "
fomepizole 1000 mg /mL intravenous solution for injection 1.5 mL,"Dextrose – 10%
Sodium Chloride
 - 0.9%  "
"fondaparinux sodium 2.5 mg /0.5ml SC,IV solution for injection 0.5 mL","Dextrose – 2.5%
Sodium Chloride
 - 0.45%  "
foscarnet sodium 24 mg /mL intravenous preservative free solution for injection 250 mL,"Dextrose – 2.5%
Sodium Chloride
 - 0.45%  "
fosfomycin 2000 mg intravenous powder for injection,"Dextrose – 2.5%
Sodium Chloride
 - 0.45%  "
furosemide 1 mg /ml oral sugar free solution 150 ml,"Dextrose – 2.5%
Sodium Chloride
 - 0.45%  "
furosemide 10 mg / ml oral sugar free solution 60 ml,"Dextrose – 2.5%
Sodium Chloride
 - 0.45%  "
furosemide 40 mg Oral Scored Tab,"Dextrose – 2.5%
Sodium Chloride
 - 0.45%  "
furosemide 40 mg Oral Tab,"Dextrose – 4%
Sodium Chloride
 - 0.18%  "
"furosemide sodium 10 mg /mL IM,IV solution for injection 2 mL","Dextrose – 4.3%
Sodium Chloride
 - 0.18%  "
fusidic Acid 1 % ophthalmic ointment 5 g,"Dextrose – 4.3%
Sodium Chloride
 - 0.18%  "
fusidic Acid 2 % topical cream 30 g,"Dextrose – 4.3%
Sodium Chloride
 - 0.18%  "
fusidic Acid 2 % topical ointment 30 g,"Dextrose – 4.3%
Sodium Chloride
 - 0.18%  "
gabapentin 100 mg oral Cap,"Dextrose – 4.3%
Sodium Chloride
 - 0.18%  "
gabapentin 250 mg /5mL oral solution 470 mL,"Dextrose – 4.3%
Sodium Chloride
 - 0.18%  "
gabapentin 300 mg oral Cap,"Dextrose – 4.3%
Sodium Chloride
 - 0.18%  "
gabapentin 400 mg oral Cap,"Dextrose – 5%
Sodium Chloride
 - 0.18%  "
gadobutrol 604.72 mg /mL intravenous preservative free solution for injection 5 mL,"Dextrose – 5%
Sodium Chloride
 - 0.18%  "
gadobutrol 604.72 mg /mL intravenous solution for injection 7.5 mL,"Dextrose – 5%
Sodium Chloride
 - 0.18%  "
Gadoterate meglumine 0.5 mmol/ml 279.32 mg /mL intravenous solution for injection 5 mL,"Dextrose – 5%
Sodium Chloride
 - 0.18%  "
Gadoterate meglumine 5 mmol /ml intravenous solution for injection 10 mL,"Dextrose – 5%
Sodium Chloride
 - 0.18%  "
gadoxetate disodium 0.25 mmol / mL 181.43 mg /mL intravenous solution for injection 10 mL,"Dextrose – 5%
Sodium Chloride
 - 0.18%  "
gadoxetate disodium 0.25 mmol / mL 181.43 mg /mL intravenous solution for injection 10 mL,"Dextrose – 5%
Sodium Chloride
 - 0.18%  "
gamma benzene hexachloride 0.1 % topical lotion 200 ml,"Dextrose – 5%
Sodium Chloride
 - 0.225%  "
ganciclovir 0.15 % ophthalmic gel 5 g,"Dextrose – 5%
Sodium Chloride
 - 0.225%  "
ganciclovir 500 mg intravenous powder for injection,"Dextrose – 5%
Sodium Chloride
 - 0.225%  "
ganirelix acetate 0.25 mg /0.5mL intravenous solution for injection 0.5 mL,"Dextrose – 5%
Sodium Chloride
 - 0.225%  "
gelatin polysuccinate 4% intravenous fluid 500 mL,"Dextrose – 5%
Sodium Chloride
 - 0.225%  "
gemcitabine 1000 mg intravenous powder for injection,"Dextrose – 5%
Sodium Chloride
 - 0.225%  "
gemcitabine 200 mg intravenous preservative free powder for injection,"Dextrose – 5%
Sodium Chloride
 - 0.225%  "
gemfibrozil 600 mg Oral FC tab,"Dextrose – 5%
Sodium Chloride
 - 0.45%  "
"Gentamicin (Sulphate) 20 mg /mL IM,IV solution for injection 1 mL","Dextrose – 5%
Sodium Chloride
 - 0.45%  "
"Gentamicin (Sulphate) 40 mg /mL IM,IV preservative free solution for injection 2 mL","Dextrose – 5%
Sodium Chloride
 - 0.45%  "
gentamicin 0.3 % ophthalmic ointment 5 g,"Dextrose – 5%
Sodium Chloride
 - 0.45%  "
Gentamicin Sulfate 0.1 % topical cream 15 g,"Dextrose – 5%
Sodium Chloride
 - 0.45%  "
Gentamicin Sulphate 3mg ml ophthalmic&otic solution 10 ml,"Dextrose – 5%
Sodium Chloride
 - 0.45%  "
gliclazide 60 mg Oral MR Scored Tab,"Dextrose – 5%
Sodium Chloride
 - 0.45%  "
glimepiride 2 mg Oral Scored Tab,"Dextrose – 5%
Sodium Chloride
 - 0.9%  "
Glipizide 5 mg Oral Tab,"Dextrose – 5%
Sodium Chloride
 - 0.9%  "
Glucagon 3mg nasal powder 3 mg - nasal powder - -,"Dextrose – 5%
Sodium Chloride
 - 0.9%  "
"glucagon recombinant 1 mg SC,IM powder for injection","Dextrose – 5%
Sodium Chloride
 - 0.9%  "
Glucose Oral Gel 40 % oral gel 25 g,"Dextrose – 5%
Sodium Chloride
 - 0.9%  "
glycerin (pure) liquid (Compounding) 100 ML Oral Liquid,"Dextrose – 5%
Sodium Chloride
 - 0.9%  "
glycerin 1800 mg rectal supp,"Dextrose – 5%
Sodium Chloride
 - 0.9%  "
glycerin 2275 mg rectal supp,"Dextrose 10%w/v I.V.Infusion
   "
glycerin 900 mg rectal supp,"Dextrose 5%w/v I.V.Infusion
   "
glycerin 1365 mg rectal supp,"Dextrose Monohydrate 10%
 W/V  "
glycerin icthyol 90-10 % otic solution 15 ml,"Dextrose Monohydrate 10%
 W/V  "
Glycerin USP (Glycerol BP) 5 L - fluid 5000 mL,"Dextrose Monohydrate 10%
 W/V  "
glycerol 2 g rectal suppositories,"Dextrose Monohydrate 10%
 W/V  "
glycerol phenylbutyrate 1.1 gm / ml oral unflavored syrup 25 ml,"Dextrose Monohydrate 10%
 W/V  "
glyceryl trinitrate 1 mg /mL intravenous solution for injection 5 mL,"Dextrose Monohydrate 10%
 W/V  "
glyceryl trinitrate 5 mg /mL intravenous solution for injection 10 mL,"Dextrose Monohydrate 10%
 W/V  "
"glycopyrrolate 0.2 mg /mL IM,IV solution for injection 1 mL","Dextrose Monohydrate 25%
 W/V  "
Glycopyrrolate 1 mg Oral Tab,"Dextrose Monohydrate 25%
 W/V  "
Glycopyrrolate 2 mg Oral Tab,"Dextrose Monohydrate 25%
 W/V  "
goserelin acetate implant 10.8 mg /depot subcutanious depot 1 depot,"Dextrose Monohydrate 25%
 W/V  "
goserelin acetate implant 3.6 mg /depot subcutanious depot 1 depot,"Dextrose Monohydrate 25%
 W/V  "
granisetron 1 mg /mL intravenous solution for injection 3 mL,"Dextrose Monohydrate 25%
 W/V  "
granisetron 1 mg Oral FC Tab,"Dextrose Monohydrate 25%
 W/V  "
granisetron 3.1 mg/24hr topical patch - -,"Dextrose Monohydrate 5%  W/V
  "
granisetron HCL 1 mg /mL intravenous solution for injection 1 mL,"Dextrose Monohydrate 5%  W/V
  "
griseofulvin 125 mg /5 ml oral flavored syrup 120 ml,Dextrose Monohydrate 5%  W/V
griseofulvin 125 mg /5ml Oral Suspension 100 mL,Dextrose Monohydrate 5%  W/V
guaiFENesin 100 mg / 5 ml oral alcohol free solution 118 ml,Dextrose Monohydrate 5%  W/V
guanfacine 1 mg Oral MR Tab,Dextrose Monohydrate 5%  W/V
H.Influenza Type B - - - - - 0.5 mL,Dextrose Monohydrate 5%  W/V
haemophilus influenza B (HIB) 1 dose /0.5 mL intramuscular powder for injection 0.5 mL,"Dextrose Monohydrate 50%
 W/V  "
Haemophilus type b / Meningococcal group C 1 Dose 0.5 mL intramuscular powder for injection 0.5 mL,"Dextrose Monohydrate 50%
 W/V  "
haloperidol 0.5 mg Oral Cap,"Dextrose Monohydrate 50%
 W/V  "
haloperidol 0.5 mg Oral Tab,"Dextrose Monohydrate 50%
 W/V  "
haloperidol 1.5 mg Oral Scored Tab,"Dextrose Monohydrate 50%
 W/V  "
haloperidol 10 mg Oral Tab,"Dextrose Monohydrate 50%
 W/V  "
haloperidol 2 mg/mL Oral Soln 100 mL 2 mg /ml oral unflavored 100 ml,"Dextrose Monohydrate 50%
 W/V  "
haloperidol 2 mg /ml oral solution 15 ml,"Dextrose Monohydrate 70%
 W/V  "
haloperidol 5 mg Oral Scored Tab,"Dextrose Monohydrate 70%
 W/V  "
haloperidol lactate 5 mg /mL intravenous solution for injection 1 mL,"Dextrose Monohydrate 70%
 W/V  "
Hartmanns solution intravenous fluid 1000 mL,"Dextrose Monohydrate 70%
 W/V  "
hep B ped 10 mcg /0.5 mL intramuscular single dose injection 0.5 mL,"Dextrose Monohydrate 70%
 W/V  "
heparin cyclotaurolidine / citrate 500 IU- 4% - catheter lock solution solution for injection 5 mL,"Dextrose Monohydrate 70%
 W/V  "
heparin sodium (bovine) 1000 IU /mL intravenous solution for injection 5 mL,"Dextrose Monohydrate 70%
 W/V  "
"heparin sodium (Bovine) 5000 IU /mL SC,IV solution for injection 1 mL",Diazepam5 mg tab
heparin sodium 50 units Flush 5mL Flushing solution solution 5 mL,"Diclofenac Sodium  50 MG
 "
heparin sodium 10 units /mL Flushing solution 5 mL,DICLOFENAC  50 mg
heparin sodium 5000 IU /mL intravenous solution for injection 5 mL,DICLOFENAC 50 mg
heparin Sodium porcine 100 U / mL preservative free flushing solution solution 1 mL,Diclofenac acid 46.5 Mg
heparin sodium porcine 100 U/mL preservative free flushing solution solution 5 mL,Diclofenac DEA 1.16%
hepatitis A vaccine inactivated for children 1 dose 0.5 mL intramuscular single dose injection 0.5 mL,"DICLOFENAC DIETHYL AMINE 1.16%
  "
hepatitis B immunoglobulin 200 Unit / mL intramuscular syringe 1 mL,"Diclofenac Diethylamine 1%
 w/w  "
hepatitis B vaccine Adult 20 mcg 0.5 mL intramuscular single dose injection 1 mL,"Diclofenac diethylamine 1.16
 %  "
herbal antihemorrhoidal 16.6 % topical ointment 30 g,"Diclofenac Diethylamine 1.16%
 (W/W)  "
human chorionic gonadotropin 1500 units IM/SC Powder for Injection,"Diclofenac Diethylamine 10mg/1g
  "
human chorionic gonadotropin 5000 unit intramuscular powder for injection,Diclofenac K 50mg
human Rabies immunoglobulin 150 iu /mL Intramuscular prefilled syringe 2 mL,Diclofenac Na 50mg
human Varicella-Zooster immglbn 25 IU /mL Intravenous solution for injection 5 mL,"Diclofenac potassium  50 mg
  "
Humapen Luxura Half Dose Insulin Pen device - - - -,"Diclofenac potassium  50 mg
  "
hyaluronic acid 0.2 % ophthalmic minims 0.5 ml,"Diclofenac potassium  50 mg
  "
hyaluronidase (Recombinant) 150 I.U. /mL IM/IO/SC injection 1 mL,"Diclofenac potassium 1.5%
  "
hyaluronidase 1500 IU IM/IO/SC (Not for IV use) Powder for Solution for Injection,"DICLOFENAC POTASSIUM 50 MG
  "
Hydralazine 10 mg Oral Tab,"Diclofenac potassium 50mg
  "
Hydralazine 25 mg Oral Tab,"Diclofenac Potassium 50mg
   "
hydralazine hydrochloride lyophilised 20 mg IV powder for injection,"Diclofenac Sodium
75mg/3ml
  "
hydrochlorothiazide 25 mg Oral Tab,"Diclofenac Sodium
75mg/3ml
  "
hydrochlorothiazide 50 mg Oral Tab,Diclofenac sodium 1%
hydrocortisone 1 % topical cream 15 g,Diclofenac Sodium 1%
hydrocortisone 1 % topical ointment 15 g,"Diclofenac Sodium 100 Mg
 "
hydrocortisone 10 mg Oral Tab,"Diclofenac sodium 100 mg
 "
hydrocortisone 2.5 % topical cream 28.35 g,"Diclofenac sodium 100 mg
 "
hydrocortisone butyrate 0.1 % topical cream 30 g,"Diclofenac sodium 100 mg/tabl.
  "
hydrocortisone butyrate 0.1 % topical ointment 30 g,Diclofenac Sodium 100mg
"hydrocortisone sodium succinate 100 mg IM,IV preservative free powder for injection",Diclofenac sodium 100mg
hydrogen peroxide 6 % topical solution 250 ml,Diclofenac sodium 100mg
hydromorphone HCL 2 mg /mL solution injection 1 mL,"Diclofenac Sodium 100mg
 "
hydromorphone HCl 2 mg oral Tab,"Diclofenac Sodium 100mg/Suppository
  "
hydromorphone HCL 4 mg oral Tab,"Diclofenac Sodium 100mg/Tablet
  "
hydroxocobalamin (lyophilized) 5000 mg intravenous powder for injection,"Diclofenac sodium 12.5 mg
  "
hydroxychloroquine 200 mg Oral FC Tab,"Diclofenac sodium 12.5 mg
  "
hydroxyethylcellulose /propelenglycol - - topical gel 11 ml,"Diclofenac sodium 150 mg
 "
hydroxyurea(hydroxycarbamide) 500 mg Oral Cap,Diclofenac sodium 25 mg
hydroxyzine 10 mg Oral FC Tab,Diclofenac sodium 25 mg
hydroxyzine 25 mg Oral FC Tab,Diclofenac Sodium 25mg
hyoscine 1 mg/72 hr topical patch 2 mg,Diclofenac sodium 50 mg
hyoscine butylbromide 10 mg Oral FC Tab,Diclofenac Sodium 50 Mg
hyoscine butylbromide 10 mg Oral Tab,Diclofenac sodium 50 mg
ibuprofen 100 mg /5ml Oral Suspension 100 mL,Diclofenac sodium 50 mg
ibuprofen 200 mg Oral FC Tab,Diclofenac sodium 50 mg
ibuprofen 400 mg Oral Tab,"Diclofenac sodium 50 mg/tabl.
  "
ibuprofen 5 mg /mL intravenous solution for injection 2 mL,Diclofenac Sodium 50mg
ibuprofen 60 mg rectal supp,Diclofenac Sodium 50mg
ibuprofen 600 mg Oral Tab,Diclofenac sodium 50mg
ibuprofen 800 mg Oral SR Tab,"Diclofenac Sodium 50mg/Suppository
  "
Idarubicin HCL 1 mg /mL intravenous Injection 10 mL,"Diclofenac Sodium 50mg/Tablet
  "
ifosfamide 1000 mg intravenous powder for injection,"Diclofenac Sodium 50mg/Tablet
  "
iloprost 10 mcg /mL inhalation solution 2 mL,Diclofenac sodium 75 mg
imatinib 400 mg Oral FC Tab,Diclofenac sodium 75 mg
imipramine 10 mg Oral Tab,"Diclofenac Sodium 75 mg /
 Tablet   "
imipramine 25 mg Oral FC Tab,"Diclofenac Sodium 75 Mg
Sustained
 Release Tablets  "
Imiquimod 5 % topical cream 0.25 g,"Diclofenac Sodium 75 Mg,Lidocaine
 HCl 20 Mg  "
immunoglobulin (equine antithymocyte) 50 mg /mL Intravenous injection 5 mL,"Diclofenac sodium 75 mg/amp.
  "
immunoglobulin (human) 20% 200 mg /mL intravenous solution for injection 10 mL,"Diclofenac sodium 75 mg/amp.
  "
immunoglobulin (human) 20% 200 mg /mL intravenous solution for injection 5 mL,"Diclofenac Sodium75mg/3ml
  "
immunoglobulin (rabbit antithymocyte) 5 mg intravenous Powder for Injection,"Diclofenac Sodium 100mg(In
 Neutral Pellets)  "
immunoglobulin 10% (normal) 100 mg /mL intravenous solution for injection 100 mL,"Diclofenac Sodium
10mg/1gm
  "
immunoglobulin 10% (normal) 100 mg /mL intravenous solution for injection 25 mL,Diclofenac sodium0.1%
immunoglobulin 10% (normal) 100 mg /mL intravenous solution for injection 50 mL,Dienogest 2mg
indapamide 1.5 mg Oral FC SR Tab,"Diflucortolone 21-Valerate
 0.1% (W/W)
Isoconazole Nitrate
 1% (W/W)  "
"indigo carmine 4 mg /mL IM,IV solution for injection 5 mL",Digoxin 0.05mg/ml
indomethacin 1 mg intravenous powder for injection,Digoxin 0.0625mg
Indomethacin 100 mg rectal supp,Digoxin 0.25 mg
indomethacin 25 mg Oral Cap,Digoxin 0.5mg/2ml
infliximab (I.V.) 100 mg intravenous Powder for Injection,"Diltiazem Hydrochloride 60mg
   "
"INFluenza virus vac, inactivated 1 dose /0.5 mL IM/SC single dose injection 0.5 mL",Diltiazem HCL 30 MG
inositol (Vitamin B8) (Compounding) 250 g Oral Powder,"Diltiazem hydrochloride  200mg
  "
insulin (aspart /aspart Protamine 30 % - 70 %) suspension for injection 100 I.U. /mL subcutaneous prefilled-pen 3 mL,"Diltiazem hydrochloride  300mg
  "
insulin (aspart) 100 I.U. /mL IV/SC injection 10 mL,"Diltiazem hydrochloride 120mg
  "
insulin (aspart) 100 I.U. /mL subcutaneous prefilled pen 3 mL,"Diltiazem hydrochloride 90mg
  "
insulin (degludec) 100 I.U. /mL subcutaneous prefilled pen 3 mL,"Dimethindene maleate 1 gm
  "
insulin (glargine) 100 I.U. /mL subcutaneous injection 10 mL,Dimethindene maleate 1mg/ml
insulin (glargine) 100 I.U. /mL subcutaneous prefilled pen 3 mL,Dimethindene maleate 1mg/gm
insulin (glulisine) 100 I.U. /mL subcutaneous prefilled pen 3 mL,"Dimethindene maleate 4 gm
  "
insulin (lispro) 100 I.U. /mL IV/SC injection 10 mL,"Dimethindene meleate 0.25
 mg/g+Phenylephrine base2.5
 mg/g  "
insulin (lispro) 100 I.U. /mL subcutaneous prefilled pen 3 mL,"Dimethindene meleate 0.25
 mg/g+Phenylephrine base2.5
 mg/ml  "
insulin (lispro) Cartilage 100 I.U. /mL subcutaneous Cartilage 3 mL,"Dimethindene meleate 0.25
 mg/g+Phenylephrine base2.5
 mg/ml  "
insulin (regular) 100 I.U. /mL IV/SC injection 10 mL,dinoprostone 1 mg/ml
Insulin Degludec / Insulin Aspart 70% - 30% 100 IU /mL subcutaneous prefilled pen 3 mL,dinoprostone 1mg
insulin detemir 100 units /mL subcutaneous prefilled Pen 3 mL,dinoprostone 2 mg
insulin LISpro-LISpro protamine (25-75) 100 units /mL subcutaneous prefilled Pen 3 mL,"Diosmin 450mg + Hesperidin
 50mg  "
insulin Pen (lispro) half dose (Junior) 100 I.U. /mL subcutaneous prefilled pen 3 mL,"DIPHENHYDRAMINE HCl14MG  AMMONIUM
 CHLORIDE138MG  "
insulin regular/ NPH 30% - 70% 100 IU /mL subcutaneous injection 10 mL,"Diphenhydramine HCl 7mg/5ml

Paracetamol 125mg/5ml
Menthol
 0.55mg/5ml
Sodium Citrate
 28.5mg/5ml
(as Tribasic Sodium
 Citrate.2H2O)  "
Interferon (pegylated) beta 1a (12 M IU) 44 mcg /0.5 mL subcutaneous prefilled syringe 0.5 mL,"Diphenhydramine HCl 14mg/5ml

Ammonium Chloride 135mg/5ml

Menthol 1.10mg/5ml
Sodium
 Citrate 57mg/5ml
(as Tribasic
 Sodium Citrate.2H2O)  "
interFERON beta-1a (36 MIU) 132 mcg /1.5 Subcutaneous injection 1.5 mL,"Diphenhydramine HCl 14mg/5ml

Menthol 1.10mg/5ml
Dextromethorphan
 HBr 6.5mg/5ml
(as Dextromethorphan
 HBr.H2O)
Sodium Citrate 57mg/5ml

(as Tribasic Sodium Citrate.2H2O)
  "
interferon beta-1a 30 mcg /0.5 mL intramuscular prefilled Pen 0.5 mL,"Diphenhydramine HCl 14mg/5ml

Pseudoephedrine HCl 22.5mg/5ml

Menthol 1.10mg/5ml
Sodium
 Citrate 57mg/5ml
(as Tribasic
 Sodium Citrate.2H2O)  "
interferon beta-1a PFS SC 22 mcg - subcutaneous prefilled syringe - mL,"Diphenhydramine HCl 13.5mg
 & Ammonium Chloride 131.5mg
 / 5ml  "
iodixanol contrast agent 270 mg /mL intravenous preservative free solution for injection 50 mL,"Diphenhydramine HCl 7.0mg
  "
iodixanol contrast agent 320 mg /mL intravenous preservative free solution for injection 50 mL,"Diphenhydramine Hydrochloride
 14.000 mg (amount per unit
 dose) Ammonium Cholride 135.000
 mg (amount per unit dose)
                     Menthol
 1.100 mg (amount per unit
 dose)  "
iohexol contrast agent 140 mg /mL intravenous preservative free solution for injection 50 mL,"Diphenylpyraline1mg\phenylepherine
 5mg \ paracetamol250mg \caffeine
 30mg \vitamineC 50mg  "
iohexol contrast agent 180 mg /mL intravenous preservative free solution for injection 20 mL,"Diphtheria, Tetanus, Pertussis
 (acellular, component), Influenza,
 Hepatitis B, Polio vaccine
 (adsorbed)  "
iohexol contrast agent 300 mg /mL intravenous preservative free solution for injection 50 mL,"Disodium clodronate 400mg
  "
Iopinavir - ritonavir 80 - 20 mg /mL oral suspension 160 mL,"Dobutamine Hydrochloride 56.05mg/ml
 (eq.to 50mg/ml i.e 250mg/5ml)
   + Ascorbic acid 5mg/5ml
  "
iothalamate meglumine 17.2% 81 mg /mL intravenous solution for injection 250 mL,DOCETAXEL 20mg/0.5ml
ipratropium 125 mcg ml inhalation Neb solution 2 ml,DOCETAXEL 20mg/1ml
ipratropium aerosol 20 mcg puff inhalation MDI 200 dose,"DOCETAXEL 20mg/1ml (80mg/4ml)
  "
Irbesartan/Hydrochlorothiazide 150-12.5 mg Oral FC tab,DOCETAXEL 80mg/2ml
irinotecan 20 mg/mL Inj 5 mL 20 mg /mL intravenous solution for injection 5 mL,Domperidone 1mg/ml
"iron dextran 50 mg /mL IM,IV solution for injection 2 mL",Domperidone 10mg
iron pyrophosphate liposomal 7 mg /ml oral flavored syrup 30 ml,"Domperidone 0.15g/150ml Bottle
  "
iron sucrose (saccharate) 20 mg /mL intravenous solution for injection 5 mL,Domperidone 10 mg
isoflurane 100 % /ml inhalation solution 100 mL,Domperidone 1 mg / ml
isoniazid 100 mg Oral Tab,Domperidone 10mg
isoniazid 300 mg Oral Tab,donepezil HCl 5 mg
isoniazid 50 mg /5 ml oral unflavored syrup 500 ml,"Dorzolamide hydrochloride
 2%  "
Isoprenaline 0.2 mg /mL IV/SC Injection 1 mL,"Dorzolamide hydrochloride20
 mg  Timolol maleate5 mg/ml
  "
isosorbide dinitrate 1 mg /mL intravenous solution for injection 10 mL,doxazosin mesilate 1 mg
isosorbide dinitrate 10 mg Oral Tab,doxazosin mesilate 4 mg
isosorbide dinitrate 40 mg Oral MR Tab,Doxorubicin HCL 2mg/ml
isosorbide dinitrate 40 mg Oral Retard Cap,"Doxycycline (as Hyclate) 100mg
  "
isosorbide dinitrate 5 mg Oral Sublingual Tab,"Doxycycline 100 mg Doxycycline
 mohohydrate 106.04 mg eq
 to Doxycycline 100 mg "
isotretinoin 10 mg Oral Cap,"Doxycycline Hyclate 100mg
  "
isotretinoin 20 mg Oral Cap,"Doxycycline Hyclate 100mg
  "
ispaghula husk (psyllium) 3.5 gm oral granules,"Dried Aluminium Hydroxide
 gel 200mg + Magnisium Hydroxide
 200mg  "
Ispaghula husk-plantag ovata-senna pods 2.2-52-12.4 gm oral granules,"Dried, protein free, dialysate
 of calfs' blood 2.07mg/1g
  "
Itraconazole 10 mg /ml oral flavored syrup 150 ml,"Protein-free Haemolysate of
 calf blood, chemically &
 biologically standardized
 (calculated as dry substance)
 2.125mg/gm
Macrogoli 9 aether
 laurilicum (Polidocanolum
 600) 10mg/gm  "
itraconazole 100 mg Oral Cap,"Dried, protein free, dialysate
 of calfs' blood 4.15mg/1g
  "
